"Đợt","Nhóm hàng","Mã món","Tên món","Cỡ","Mã quy cách (SKU)","Giá bán cỡ này","Mặc định (chỉ M)","Đang bật (để trống khi nhập)","Mã công thức riêng"
"3","Cà phê tươi","SKU-CAP-013","Xưởng Gu Việt - Phin Sữa","M","SKU-CAP-013-M","","x","","SKU-CAP-013-M-BOM"
"3","Cà phê tươi","SKU-CAP-013","Xưởng Gu Việt - Phin Sữa","L","SKU-CAP-013-L","","","","SKU-CAP-013-L-BOM"
"3","Cà phê tươi","SKU-CAP-013","Xưởng Gu Việt - Phin Sữa","XL","SKU-CAP-013-XL","","","","SKU-CAP-013-XL-BOM"
"3","Cà phê tươi","SKU-CAP-014","Xưởng Gu Việt Sữa","M","SKU-CAP-014-M","","x","","SKU-CAP-014-M-BOM"
"3","Cà phê tươi","SKU-CAP-014","Xưởng Gu Việt Sữa","L","SKU-CAP-014-L","","","","SKU-CAP-014-L-BOM"
"3","Cà phê tươi","SKU-CAP-014","Xưởng Gu Việt Sữa","XL","SKU-CAP-014-XL","","","","SKU-CAP-014-XL-BOM"
"3","Cà phê tươi","SKU-CAP-015","Xưởng Ngọc Trai","M","SKU-CAP-015-M","","x","","SKU-CAP-015-M-BOM"
"3","Cà phê tươi","SKU-CAP-015","Xưởng Ngọc Trai","L","SKU-CAP-015-L","","","","SKU-CAP-015-L-BOM"
"3","Cà phê tươi","SKU-CAP-015","Xưởng Ngọc Trai","XL","SKU-CAP-015-XL","","","","SKU-CAP-015-XL-BOM"
"3","Cà phê tươi","SKU-CAP-016","Xưởng Đặc Biệt - Phin","M","SKU-CAP-016-M","","x","","SKU-CAP-016-M-BOM"
"3","Cà phê tươi","SKU-CAP-016","Xưởng Đặc Biệt - Phin","L","SKU-CAP-016-L","","","","SKU-CAP-016-L-BOM"
"3","Cà phê tươi","SKU-CAP-016","Xưởng Đặc Biệt - Phin","XL","SKU-CAP-016-XL","","","","SKU-CAP-016-XL-BOM"
"3","Cà phê tươi","SKU-CAP-017","Xưởng Đặc Biệt - Phin Sữa","M","SKU-CAP-017-M","","x","","SKU-CAP-017-M-BOM"
"3","Cà phê tươi","SKU-CAP-017","Xưởng Đặc Biệt - Phin Sữa","L","SKU-CAP-017-L","","","","SKU-CAP-017-L-BOM"
"3","Cà phê tươi","SKU-CAP-017","Xưởng Đặc Biệt - Phin Sữa","XL","SKU-CAP-017-XL","","","","SKU-CAP-017-XL-BOM"
"3","Cà phê tươi","SKU-CPT-002","Cafe Test BOM","M","SKU-CPT-002-M","","x","","SKU-CPT-002-M-BOM"
"3","Cà phê tươi","SKU-CPT-002","Cafe Test BOM","L","SKU-CPT-002-L","","","","SKU-CPT-002-L-BOM"
"3","Cà phê tươi","SKU-CPT-002","Cafe Test BOM","XL","SKU-CPT-002-XL","","","","SKU-CPT-002-XL-BOM"
