"Mã công thức","Mã chi nhánh","Chi nhánh","Mã món","Cỡ","Mã nguyên liệu","Tên nguyên liệu","Số lượng","Đơn vị dùng","Hệ số quy đổi về ĐVT kho","Ghi chú"
"SKU-TSU-002-M-BOM","CNH-XPR","Xưởng Premium","SKU-TSU-002","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-002-M-BOM","CNH-XTB","Xưởng Tư Búa","SKU-TSU-002","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-002-L-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-TSU-002","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-002-L-BOM","CNH-XPR","Xưởng Premium","SKU-TSU-002","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-002-L-BOM","CNH-XTB","Xưởng Tư Búa","SKU-TSU-002","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-002-XL-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-TSU-002","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-002-XL-BOM","CNH-XPR","Xưởng Premium","SKU-TSU-002","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-002-XL-BOM","CNH-XTB","Xưởng Tư Búa","SKU-TSU-002","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-003-M-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-TSU-003","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-003-M-BOM","CNH-XPR","Xưởng Premium","SKU-TSU-003","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-003-M-BOM","CNH-XTB","Xưởng Tư Búa","SKU-TSU-003","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-003-L-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-TSU-003","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-003-L-BOM","CNH-XPR","Xưởng Premium","SKU-TSU-003","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-003-L-BOM","CNH-XTB","Xưởng Tư Búa","SKU-TSU-003","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-003-XL-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-TSU-003","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-003-XL-BOM","CNH-XPR","Xưởng Premium","SKU-TSU-003","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-TSU-003-XL-BOM","CNH-XTB","Xưởng Tư Búa","SKU-TSU-003","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-001-M-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-001","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-001-M-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-001","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-001-M-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-001","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-001-L-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-001","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-001-L-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-001","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-001-L-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-001","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-001-XL-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-001","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-001-XL-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-001","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-001-XL-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-001","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-002-M-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-002","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-002-M-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-002","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-002-M-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-002","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-002-L-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-002","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-002-L-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-002","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-002-L-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-002","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-002-XL-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-002","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-002-XL-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-002","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-002-XL-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-002","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-003-M-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-003","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-003-M-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-003","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-003-M-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-003","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-003-L-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-003","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-003-L-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-003","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-003-L-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-003","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-003-XL-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-003","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-003-XL-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-003","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-003-XL-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-003","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-004-M-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-004","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-004-M-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-004","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-004-M-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-004","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-004-L-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-004","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-004-L-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-004","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-004-L-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-004","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-004-XL-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-004","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-004-XL-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-004","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-004-XL-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-004","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-005-M-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-005","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-005-M-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-005","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-005-M-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-005","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-005-L-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-005","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-005-L-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-005","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-005-L-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-005","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-005-XL-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-005","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-005-XL-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-005","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-005-XL-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-005","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-006-M-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-006","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-006-M-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-006","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-006-M-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-006","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-006-L-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-006","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-006-L-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-006","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-006-L-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-006","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-006-XL-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-006","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-006-XL-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-006","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-006-XL-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-006","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-007-M-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-007","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-007-M-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-007","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-007-M-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-007","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-007-L-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-007","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-007-L-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-007","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-007-L-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-007","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-007-XL-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-007","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-007-XL-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-007","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-007-XL-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-007","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-008-M-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-008","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-008-M-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-008","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-008-M-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-008","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-008-L-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-008","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-008-L-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-008","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-008-L-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-008","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-008-XL-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-008","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-008-XL-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-008","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-008-XL-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-008","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-009-M-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-009","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-009-M-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-009","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-009-M-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-009","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-009-L-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-009","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-009-L-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-009","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-009-L-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-009","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-009-XL-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-009","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-009-XL-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-009","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-009-XL-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-009","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-010-M-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-010","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-010-M-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-010","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-010-M-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-010","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-010-L-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-010","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-010-L-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-010","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-010-L-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-010","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-010-XL-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-010","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-010-XL-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-010","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-010-XL-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-010","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-011-M-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-011","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-011-M-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-011","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-011-M-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-011","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-011-L-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-011","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-011-L-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-011","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-011-L-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-011","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-011-XL-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-011","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-011-XL-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-011","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-011-XL-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-011","XL","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-012-M-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-012","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-012-M-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-012","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-012-M-BOM","CNH-XTB","Xưởng Tư Búa","SKU-CAP-012","M","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-012-L-BOM","CNH-XDX","Xưởng Đồng Xoài","SKU-CAP-012","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
"SKU-CAP-012-L-BOM","CNH-XPR","Xưởng Premium","SKU-CAP-012","L","","","","","","thêm dòng cùng mã công thức + mã chi nhánh cho mỗi nguyên liệu"
