"Mã công thức","Mã món","Cỡ","Chi nhánh áp dụng","Mã chi nhánh","Sản lượng 1 lần làm","Đơn vị sản lượng","Ghi chú"
"SKU-TSU-003-XL-BOM","SKU-TSU-003","XL","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-001-M-BOM","SKU-CAP-001","M","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-001-M-BOM","SKU-CAP-001","M","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-001-M-BOM","SKU-CAP-001","M","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-001-L-BOM","SKU-CAP-001","L","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-001-L-BOM","SKU-CAP-001","L","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-001-L-BOM","SKU-CAP-001","L","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-001-XL-BOM","SKU-CAP-001","XL","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-001-XL-BOM","SKU-CAP-001","XL","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-001-XL-BOM","SKU-CAP-001","XL","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-002-M-BOM","SKU-CAP-002","M","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-002-M-BOM","SKU-CAP-002","M","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-002-M-BOM","SKU-CAP-002","M","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-002-L-BOM","SKU-CAP-002","L","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-002-L-BOM","SKU-CAP-002","L","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-002-L-BOM","SKU-CAP-002","L","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-002-XL-BOM","SKU-CAP-002","XL","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-002-XL-BOM","SKU-CAP-002","XL","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-002-XL-BOM","SKU-CAP-002","XL","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-003-M-BOM","SKU-CAP-003","M","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-003-M-BOM","SKU-CAP-003","M","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-003-M-BOM","SKU-CAP-003","M","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-003-L-BOM","SKU-CAP-003","L","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-003-L-BOM","SKU-CAP-003","L","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-003-L-BOM","SKU-CAP-003","L","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-003-XL-BOM","SKU-CAP-003","XL","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-003-XL-BOM","SKU-CAP-003","XL","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-003-XL-BOM","SKU-CAP-003","XL","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-004-M-BOM","SKU-CAP-004","M","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-004-M-BOM","SKU-CAP-004","M","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-004-M-BOM","SKU-CAP-004","M","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-004-L-BOM","SKU-CAP-004","L","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-004-L-BOM","SKU-CAP-004","L","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-004-L-BOM","SKU-CAP-004","L","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-004-XL-BOM","SKU-CAP-004","XL","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-004-XL-BOM","SKU-CAP-004","XL","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-004-XL-BOM","SKU-CAP-004","XL","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-005-M-BOM","SKU-CAP-005","M","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-005-M-BOM","SKU-CAP-005","M","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-005-M-BOM","SKU-CAP-005","M","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-005-L-BOM","SKU-CAP-005","L","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-005-L-BOM","SKU-CAP-005","L","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-005-L-BOM","SKU-CAP-005","L","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-005-XL-BOM","SKU-CAP-005","XL","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-005-XL-BOM","SKU-CAP-005","XL","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-005-XL-BOM","SKU-CAP-005","XL","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-006-M-BOM","SKU-CAP-006","M","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-006-M-BOM","SKU-CAP-006","M","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-006-M-BOM","SKU-CAP-006","M","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-006-L-BOM","SKU-CAP-006","L","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-006-L-BOM","SKU-CAP-006","L","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-006-L-BOM","SKU-CAP-006","L","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-006-XL-BOM","SKU-CAP-006","XL","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-006-XL-BOM","SKU-CAP-006","XL","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-006-XL-BOM","SKU-CAP-006","XL","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-007-M-BOM","SKU-CAP-007","M","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-007-M-BOM","SKU-CAP-007","M","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-007-M-BOM","SKU-CAP-007","M","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-007-L-BOM","SKU-CAP-007","L","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-007-L-BOM","SKU-CAP-007","L","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-007-L-BOM","SKU-CAP-007","L","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-007-XL-BOM","SKU-CAP-007","XL","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-007-XL-BOM","SKU-CAP-007","XL","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-007-XL-BOM","SKU-CAP-007","XL","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-008-M-BOM","SKU-CAP-008","M","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-008-M-BOM","SKU-CAP-008","M","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-008-M-BOM","SKU-CAP-008","M","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-008-L-BOM","SKU-CAP-008","L","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-008-L-BOM","SKU-CAP-008","L","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-008-L-BOM","SKU-CAP-008","L","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-008-XL-BOM","SKU-CAP-008","XL","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-008-XL-BOM","SKU-CAP-008","XL","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-008-XL-BOM","SKU-CAP-008","XL","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-009-M-BOM","SKU-CAP-009","M","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-009-M-BOM","SKU-CAP-009","M","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-009-M-BOM","SKU-CAP-009","M","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-009-L-BOM","SKU-CAP-009","L","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-009-L-BOM","SKU-CAP-009","L","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-009-L-BOM","SKU-CAP-009","L","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-009-XL-BOM","SKU-CAP-009","XL","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-009-XL-BOM","SKU-CAP-009","XL","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-009-XL-BOM","SKU-CAP-009","XL","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-010-M-BOM","SKU-CAP-010","M","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-010-M-BOM","SKU-CAP-010","M","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-010-M-BOM","SKU-CAP-010","M","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-010-L-BOM","SKU-CAP-010","L","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-010-L-BOM","SKU-CAP-010","L","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-010-L-BOM","SKU-CAP-010","L","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-010-XL-BOM","SKU-CAP-010","XL","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-010-XL-BOM","SKU-CAP-010","XL","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-010-XL-BOM","SKU-CAP-010","XL","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-011-M-BOM","SKU-CAP-011","M","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-011-M-BOM","SKU-CAP-011","M","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-011-M-BOM","SKU-CAP-011","M","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-011-L-BOM","SKU-CAP-011","L","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-011-L-BOM","SKU-CAP-011","L","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-011-L-BOM","SKU-CAP-011","L","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-011-XL-BOM","SKU-CAP-011","XL","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-011-XL-BOM","SKU-CAP-011","XL","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-011-XL-BOM","SKU-CAP-011","XL","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-012-M-BOM","SKU-CAP-012","M","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-012-M-BOM","SKU-CAP-012","M","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-012-M-BOM","SKU-CAP-012","M","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-012-L-BOM","SKU-CAP-012","L","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-012-L-BOM","SKU-CAP-012","L","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-012-L-BOM","SKU-CAP-012","L","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-012-XL-BOM","SKU-CAP-012","XL","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-012-XL-BOM","SKU-CAP-012","XL","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-012-XL-BOM","SKU-CAP-012","XL","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-013-M-BOM","SKU-CAP-013","M","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-013-M-BOM","SKU-CAP-013","M","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-013-M-BOM","SKU-CAP-013","M","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-013-L-BOM","SKU-CAP-013","L","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-013-L-BOM","SKU-CAP-013","L","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-013-L-BOM","SKU-CAP-013","L","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-013-XL-BOM","SKU-CAP-013","XL","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-013-XL-BOM","SKU-CAP-013","XL","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-013-XL-BOM","SKU-CAP-013","XL","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-014-M-BOM","SKU-CAP-014","M","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-014-M-BOM","SKU-CAP-014","M","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-014-M-BOM","SKU-CAP-014","M","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-014-L-BOM","SKU-CAP-014","L","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-014-L-BOM","SKU-CAP-014","L","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-014-L-BOM","SKU-CAP-014","L","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-014-XL-BOM","SKU-CAP-014","XL","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-014-XL-BOM","SKU-CAP-014","XL","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-014-XL-BOM","SKU-CAP-014","XL","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-015-M-BOM","SKU-CAP-015","M","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-015-M-BOM","SKU-CAP-015","M","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-015-M-BOM","SKU-CAP-015","M","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-015-L-BOM","SKU-CAP-015","L","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-015-L-BOM","SKU-CAP-015","L","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-015-L-BOM","SKU-CAP-015","L","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-015-XL-BOM","SKU-CAP-015","XL","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-015-XL-BOM","SKU-CAP-015","XL","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-015-XL-BOM","SKU-CAP-015","XL","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-016-M-BOM","SKU-CAP-016","M","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-016-M-BOM","SKU-CAP-016","M","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-016-M-BOM","SKU-CAP-016","M","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-016-L-BOM","SKU-CAP-016","L","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-016-L-BOM","SKU-CAP-016","L","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-016-L-BOM","SKU-CAP-016","L","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-016-XL-BOM","SKU-CAP-016","XL","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-016-XL-BOM","SKU-CAP-016","XL","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-016-XL-BOM","SKU-CAP-016","XL","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-017-M-BOM","SKU-CAP-017","M","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-017-M-BOM","SKU-CAP-017","M","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-017-M-BOM","SKU-CAP-017","M","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-017-L-BOM","SKU-CAP-017","L","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-017-L-BOM","SKU-CAP-017","L","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-017-L-BOM","SKU-CAP-017","L","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CAP-017-XL-BOM","SKU-CAP-017","XL","Xưởng Đồng Xoài","CNH-XDX","1","Ly",""
"SKU-CAP-017-XL-BOM","SKU-CAP-017","XL","Xưởng Premium","CNH-XPR","1","Ly",""
"SKU-CAP-017-XL-BOM","SKU-CAP-017","XL","Xưởng Tư Búa","CNH-XTB","1","Ly",""
"SKU-CPT-002-M-BOM","SKU-CPT-002","M","Xưởng Đồng Xoài","CNH-XDX","1","ly",""
"SKU-CPT-002-M-BOM","SKU-CPT-002","M","Xưởng Premium","CNH-XPR","1","ly",""
"SKU-CPT-002-M-BOM","SKU-CPT-002","M","Xưởng Tư Búa","CNH-XTB","1","ly",""
"SKU-CPT-002-L-BOM","SKU-CPT-002","L","Xưởng Đồng Xoài","CNH-XDX","1","ly",""
"SKU-CPT-002-L-BOM","SKU-CPT-002","L","Xưởng Premium","CNH-XPR","1","ly",""
"SKU-CPT-002-L-BOM","SKU-CPT-002","L","Xưởng Tư Búa","CNH-XTB","1","ly",""
"SKU-CPT-002-XL-BOM","SKU-CPT-002","XL","Xưởng Đồng Xoài","CNH-XDX","1","ly",""
"SKU-CPT-002-XL-BOM","SKU-CPT-002","XL","Xưởng Premium","CNH-XPR","1","ly",""
"SKU-CPT-002-XL-BOM","SKU-CPT-002","XL","Xưởng Tư Búa","CNH-XTB","1","ly",""
